"","species","Mean_Root_diameter","Root_C_concentration","Root_C_N_ratio","Root_N_concentration","Root_tissue_density","Specific_root_length","Root_mass_fraction","Root_branching_density","Root_branching_ratio","Root_Ca_concentration","Root_K_concentration","Root_length_density_volume","Root_lifespan_mean","Root_lifespan_median","Root_lignin_concentration","Root_litter_mass_loss_rate","Root_Mg_concentration","Root_Mn_concentration","Root_mycorrhizal colonization","Root_P_concentration","Root_stele_diameter","Root_stele_fraction","Root_total_structural_carbohydrate_concentration","Specific_root_area","Root_production","Root_turnover_rate","Rooting_depth","Specific_root_respiration","Root_mass_density","Coarse_root_fine_root_mass_ratio","Fine_root_mass_leaf_mass_ratio","Root_dry_matter_content","Root_cortex_thickness","Root_vessel_diameter","Root_xylem_vessel_number","Lateral_spread","Root_N_P_ratio","Net_nitrogen_uptake_rate"
"11","Abies fraseri",NA,NA,NA,NA,NA,NA,0.3525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Abies grandis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4455,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Abies holophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Abies homolepis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Abies koreana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Abies lasiocarpa",NA,NA,81.5,NA,NA,40.27948308,0.103200285488889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,39.65,NA,5.2641834933,0.0517912581666667,NA,NA,NA,NA,NA,NA,NA
"17","Abies magnifica",NA,459,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Abies mariesii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Abies nephrolepis",0.415233333,469.3375557,26.80654533,17.6418355,0.279705882,27.04585714,NA,NA,NA,8.2,5.5,NA,NA,NA,NA,NA,0.8,NA,11,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Abies nordmanniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Abies numidica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Abies pindrow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Abies pinsapo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Abies procera",NA,447,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Abies sachalinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Abies sibirica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.4166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Abies veitchii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Abronia maritima",NA,NA,NA,NA,NA,NA,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Abrus precatorius",NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Abutilon indicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Abutilon theophrasti",NA,NA,NA,NA,NA,NA,0.237222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Faidherbia albida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Acacia aneura",NA,418.198888888889,46.2,24.3861111111111,NA,NA,0.311349123958333,NA,NA,NA,NA,NA,NA,NA,195,1.59733333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.06,NA,24.643003695,NA,NA,NA,0.1087700685,NA,NA,NA,NA,NA,NA
"34","Acacia aulacocarpa",NA,NA,NA,NA,NA,NA,0.1535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Acacia auriculiformis",0.4754253568,411.98,17.64368308,23.762488422,0.267333333333333,71.1133333333333,NA,NA,1.93,5.5736,1.17458,NA,NA,NA,NA,NA,1.153656,0.056464,35,0.48612,125.832914319333,0.0650775166,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,128.957612185,4.32,15176.9,NA,NA,NA
"36","Acacia cambagei",NA,NA,NA,NA,NA,NA,0.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Acacia colei",NA,345.34,NA,32.44,NA,NA,0.33591759575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Acacia coriacea",NA,374.14,NA,36.67,NA,NA,0.2470661445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Acacia crassicarpa",0.22593,443.15,21.40821256,19.335,0.36,108.28,NA,NA,2.24,7.2586,0.33026,NA,NA,NA,NA,NA,1.478694,0.042472,36,0.24592,48.89,0.046826562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.59,4.01,7461.7,NA,NA,NA
"40","Acacia dealbata",NA,355.39,NA,31.42,NA,NA,0.31386285975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Acacia eburnea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Acacia erioloba",NA,NA,NA,NA,NA,NA,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Acacia farnesiana",NA,NA,NA,NA,NA,NA,0.2675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Acacia fleckii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Acacia gerrardii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Acacia goetzei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Acacia greggii",NA,NA,NA,NA,NA,52.9631553017778,0.248572825857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31372712466667,NA,NA,NA,NA,NA,NA,NA,NA
"48","Acacia harpophylla",NA,NA,NA,NA,NA,NA,0.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Acacia implexa",NA,354.91,NA,33.97,NA,NA,0.34144895375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Acacia irrorata",NA,340.41,NA,29.36,NA,NA,0.307684171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Acacia leucophloea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Acacia mangium",0.344145493444444,450.94,18.1391794,23.205,0.29,65.7189931522222,0.245,NA,2.16,6.6374,0.62532,NA,NA,NA,NA,NA,1.1122796,0.043772,53,5.95151,57.64,0.052089861,NA,432.607525077778,NA,NA,5,NA,8.2998e-05,NA,NA,NA,158.33,4.86,5674.9,NA,NA,NA
"53","Acacia mearnsii",NA,345.14,NA,32.08,NA,NA,0.3207612825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Acacia melanoxylon",NA,368.294166666667,NA,33.84,NA,NA,0.355320453122222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.35056707,NA,NA,NA,0.111364483166667,NA,NA,NA,NA,NA,NA
"55","Acacia mellifera",NA,NA,NA,NA,NA,NA,0.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Acacia neovernicosa",NA,NA,NA,NA,NA,77.309419658,0.4969289045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"57","Acacia nigrescens",NA,NA,NA,NA,NA,NA,0.466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Acacia nilotica",NA,NA,NA,17.8,NA,NA,0.3628,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,58.54,1.1,NA,NA,NA,NA,106,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Acacia polyacantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Acacia robusta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Acacia salicina",NA,NA,NA,NA,NA,NA,0.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Acacia saligna",NA,362.11,NA,38.85,NA,NA,0.383672104041667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,1.3292857145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Acacia seyal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Acacia shirleyi",NA,NA,NA,NA,NA,NA,0.1245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Acacia sieberiana",NA,NA,NA,NA,NA,NA,0.6285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Acacia tetragonophylla",NA,366.82,NA,34.39,NA,NA,0.29926045775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Acacia tortilis",NA,NA,NA,NA,NA,NA,0.430166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Acaena magellanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,0.064212344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Acaena novae-zelandiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
"70","Acalypha fruticosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Acalypha indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Acalypha lanceolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Acalypha virginica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Acalypha wilkesiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Acamptopappus shockleyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Acamptopappus sphaerocephalus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Acanthophyllum elatius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Acanthophyllum korolkowii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Acanthophyllum krascheninnikovii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Acanthosicyos horridus",NA,NA,NA,16.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.435,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3728223,NA
"81","Acanthyllis tragacanthoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Acer barbinerve",0.2523,505.769352,23.22415172,21.777732,0.152828829,143.6789729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Acer buergerianum",NA,NA,NA,22.965,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Acer campbellii",0.18975,588.3183837,50.63731202,11.635052,0.455,79.07241758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Acer campestre",0.824716,NA,27.11,12.54,0.28,9.32639548166667,0.093980999,8.5,2.41,NA,NA,NA,620.925,NA,73.113404652,NA,NA,NA,81,NA,765.625,0.2695562565,NA,405.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Acer cappadocicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,621,0.091728213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Acer caudatum",0.2359,434.9163733,19.88677929,21.870897,0.26,87.39493519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Acer coriaceifolium",0.29,403.4,29.02158273,13.9,0.19,93.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Acer davidii",0.388548265333333,537.7803427,39.58749698,14.353626,0.2967007123,59.5239789181,NA,NA,4.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,292.16613894,0.4462681184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.9781981833333,NA,NA,NA,NA,NA
"90","Acer fabri",0.188826666666667,458.98,26.56562135,17.81,0.423333333333333,102.39,NA,NA,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,59.81,0.103689964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.94,4.36,3827.6,NA,NA,NA
"91","Acer tataricum",0.4401461212,NA,NA,NA,NA,56.404577966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,437.33337158,0.5195454924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.3647207433333,NA,NA,NA,NA,NA
"92","Acer glabrum",NA,NA,NA,NA,NA,41.2623114466667,0.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Acer macrophyllum",NA,458,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Acer negundo",0.433881122757143,374.502044266667,22.2443956034444,15.2137675099524,0.424861703666667,33.2846570928462,NA,3.18,5.4,7.95126904891667,5.28113564966667,0.23939601305,252,190,139.0749241,NA,2.81332445022222,0.299524459444444,48.8214693,1.69884705822222,NA,NA,NA,NA,NA,NA,2.8194,27.0152727126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Acer pensylvanicum",NA,NA,NA,NA,NA,NA,0.20625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Acer pictum",0.344988243384444,488.47943165,28.2119954425,19.82641131,0.234333242,68.80545990319,NA,NA,NA,14.4,3,NA,NA,NA,NA,NA,1.3,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Acer platanoides",0.953838934347222,433.41,45.3117789175,10.9800055515937,0.452549377034722,28.23956405715,0.373004585333333,3.29475871775,2.97,7.6,3,4.100095,571.61625,591.705,357.8,1.855,1.6,0.7,62.325,1.1,502.12,0.224868812,368.6,346.952413223333,66.4948798975,NA,0.9625,10.2066768626,NA,NA,1.4876605165,0.266,NA,NA,NA,NA,NA,NA
